name,url,instructions_url,source_url
Junie,https://junie.jetbrains.com/,https://junie.jetbrains.com/docs/agent-skills.html,
ZeroClaw,https://www.zeroclawlabs.ai/,https://docs.zeroclawlabs.ai/master/en/tools/skills.html,https://github.com/zeroclaw-labs/zeroclaw
Gemini CLI,https://geminicli.com,https://geminicli.com/docs/cli/skills/,https://github.com/google-gemini/gemini-cli
Autohand Code CLI,https://autohand.ai/,https://autohand.ai/docs/working-with-autohand-code/agent-skills.html,https://github.com/autohandai/code-cli
OpenCode,https://opencode.ai/,https://opencode.ai/docs/skills/,https://github.com/sst/opencode
OpenHands,https://openhands.dev/,https://docs.openhands.dev/overview/skills,https://github.com/OpenHands/OpenHands
Mux,https://mux.coder.com/,https://mux.coder.com/agent-skills,https://github.com/coder/mux
Cursor,https://cursor.com/,https://cursor.com/docs/context/skills,
Amp,https://ampcode.com/,https://ampcode.com/manual#agent-skills,
Letta,https://www.letta.com/,https://docs.letta.com/letta-code/skills/,https://github.com/letta-ai/letta
Firebender,https://firebender.com/,https://docs.firebender.com/multi-agent/skills,
Goose,https://block.github.io/goose/,https://block.github.io/goose/docs/guides/context-engineering/using-skills/,https://github.com/block/goose
GitHub Copilot,https://github.com/,https://docs.github.com/en/copilot/concepts/agents/about-agent-skills,https://github.com/microsoft/vscode-copilot-chat
VS Code,https://code.visualstudio.com/,https://code.visualstudio.com/docs/copilot/customization/agent-skills,https://github.com/microsoft/vscode
Claude Code,https://claude.ai/code,https://code.claude.com/docs/en/skills,
Claude,https://claude.ai/,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,
ChatGPT & Codex,https://chatgpt.com/codex/,https://developers.openai.com/codex/skills/,https://github.com/openai/codex
Piebald,https://piebald.ai,,
Factory,https://factory.ai/,https://docs.factory.ai/cli/configuration/skills,
pi,https://shittycodingagent.ai/,https://github.com/badlogic/pi-mono/blob/main/packages/coding-agent/docs/skills.md,https://github.com/badlogic/pi-mono
Databricks Genie Code,https://databricks.com/,https://docs.databricks.com/aws/en/assistant/skills,
Agentman,https://agentman.ai/,https://agentman.ai/agentskills,
TRAE,https://trae.ai/,https://www.trae.ai/blog/trae_tutorial_0115,https://github.com/bytedance/trae-agent
Spring AI,https://docs.spring.io/spring-ai/reference,https://spring.io/blog/2026/01/13/spring-ai-generic-agent-skills/,https://github.com/spring-projects/spring-ai
Roo Code,https://roocode.com,https://docs.roocode.com/features/skills,https://github.com/RooCodeInc/Roo-Code
Mistral AI Vibe,https://github.com/mistralai/mistral-vibe,https://github.com/mistralai/mistral-vibe,https://github.com/mistralai/mistral-vibe
Command Code,https://commandcode.ai/,https://commandcode.ai/docs/skills,
Ona,https://ona.com,https://ona.com/docs/ona/agents-md#skills-for-repository-specific-workflows,
VT Code,https://github.com/vinhnx/vtcode,https://github.com/vinhnx/vtcode/blob/main/docs/skills/SKILLS_GUIDE.md,https://github.com/vinhnx/VTCode
Qodo,https://www.qodo.ai/,https://www.qodo.ai/blog/how-i-use-qodos-agent-skills-to-auto-fix-issues-in-pull-requests/,
Laravel Boost,https://github.com/laravel/boost,https://laravel.com/docs/12.x/boost#agent-skills,https://github.com/laravel/boost
Emdash,https://emdash.sh,https://docs.emdash.sh/skills,https://github.com/generalaction/emdash
Snowflake Cortex Code,https://docs.snowflake.com/en/user-guide/cortex-code/cortex-code,https://docs.snowflake.com/en/user-guide/cortex-code/extensibility#extensibility-skills,
Kiro,https://kiro.dev/,https://kiro.dev/docs/skills/,
Workshop,https://workshop.ai/,https://docs.workshop.ai/core-concepts/working-with-the-agent#create-your-own-agents,
Google AI Edge Gallery,https://github.com/google-ai-edge/gallery,https://github.com/google-ai-edge/gallery/tree/main/skills,https://github.com/google-ai-edge/gallery
nanobot,https://nanobot.wiki/,https://nanobot.wiki/docs/0.1.5/use-nanobot/skills,https://github.com/HKUDS/nanobot
fast-agent,https://fast-agent.ai/,https://fast-agent.ai/agents/skills/,https://github.com/evalstate/fast-agent
bub,https://bub.build/,https://bub.build/docs/build/skills/,https://github.com/bubbuild/bub
Tabnine,https://www.tabnine.com/,https://docs.tabnine.com/main/getting-started/tabnine-cli/features/agent-skills,
Vita,https://www.vita-ai.net,https://www.vita-ai.net/docs/features/agent-skills,
Superconductor,https://superconductor.com/,https://superconductor.com/docs/project/mcp-and-skills,
Deep Code,https://deepcode.vegamo.cn/en,https://deepcode.vegamo.cn/en/docs/configuration/agent-skills,https://github.com/lessweb/deepcode-cli
Pulumi Neo,https://www.pulumi.com/product/neo/,https://www.pulumi.com/docs/ai/skills/,
Hermes Agent,https://hermes-agent.nousresearch.com/,https://hermes-agent.nousresearch.com/docs/user-guide/features/skills,https://github.com/NousResearch/hermes-agent
OpenClaw,https://openclaw.ai/,https://docs.openclaw.ai/tools/skills,https://github.com/openclaw/openclaw
