id,display_name,skills_dir_expr,detect_expr
aider-desk,AiderDesk,"join(home, '.aider-desk/skills')","join(home, '.aider-desk'"
amp,Amp,"join(configHome, 'agents/skills')","join(configHome, 'amp'"
antigravity,Antigravity,"join(home, '.gemini/antigravity/skills')","join(home, '.gemini/antigravity'"
antigravity-cli,Antigravity CLI,"join(home, '.gemini/antigravity-cli/skills')","join(home, '.gemini/antigravity-cli'"
astrbot,AstrBot,"join(home, '.astrbot/data/skills')",join(process.cwd(
autohand-code,Autohand Code CLI,"join(autohandHome, 'skills')",autohandHome
augment,Augment,"join(home, '.augment/skills')","join(home, '.augment'"
bob,IBM Bob,"join(home, '.bob/skills')","join(home, '.bob'"
claude-code,Claude Code,"join(claudeHome, 'skills')",claudeHome
openclaw,OpenClaw,getOpenClawGlobalSkillsDir(),"join(home, '.openclaw'"
cline,Cline,"join(home, '.agents', 'skills')","join(home, '.cline'"
codearts-agent,CodeArts Agent,"join(home, '.codeartsdoer/skills')","join(home, '.codeartsdoer'"
codebuddy,CodeBuddy,"join(home, '.codebuddy/skills')",join(process.cwd(
codemaker,Codemaker,"join(home, '.codemaker/skills')","join(home, '.codemaker'"
codestudio,Code Studio,"join(home, '.codestudio/skills')","join(home, '.codestudio'"
codex,Codex,"join(codexHome, 'skills')",codexHome
command-code,Command Code,"join(home, '.commandcode/skills')","join(home, '.commandcode'"
continue,Continue,"join(home, '.continue/skills')",join(process.cwd(
cortex,Cortex Code,"join(home, '.snowflake/cortex/skills')","join(home, '.snowflake/cortex'"
crush,Crush,"join(home, '.config/crush/skills')","join(home, '.config/crush'"
cursor,Cursor,"join(home, '.cursor/skills')","join(home, '.cursor'"
deepagents,Deep Agents,"join(home, '.deepagents/agent/skills')","join(home, '.deepagents'"
devin,Devin for Terminal,"join(configHome, 'devin/skills')","join(configHome, 'devin'"
dexto,Dexto,"join(home, '.agents/skills')","join(home, '.dexto'"
droid,Droid,"join(home, '.factory/skills')","join(home, '.factory'"
eve,Eve,undefined,"join(cwd, 'agent'"
firebender,Firebender,"join(home, '.firebender/skills')","join(home, '.firebender'"
forgecode,ForgeCode,"join(home, '.forge/skills')","join(home, '.forge'"
gemini-cli,Gemini CLI,"join(home, '.gemini/skills')","join(home, '.gemini'"
